id,line_position
69311,1.1
31923,1.0
85581,1.0
98983,6.0
105432,Pos. 1.0 + 1.5
50866,3
98980,3.0
90371,5.0
101541,Pos. 1.2
107397,6.0/7.0
81182,Pos. 1.0 + 1.5
80817,Pos.112.1
89080,1
69819,130.0
69970,5.0
69528,2.5
55128,7.0
98978,1.0
92470,7.0
99404,4.0
56561,2.0
104101,Pos 4
67812,3.0
52689,7.0
96437,340
98984,6.7
91768,4
107376,5.0
107155,20
107611,1.0
88262,1.0
35187,Pos.10.0
67736,Pos. 3.0
69967,1.0
67798,2.0
57137,2.0
56089,3.0
81357,1
82039,1.1
83114,2.0
66559,4.0
37750,12.0
113650,1.0
107240,1.0
108858,2.1
99050,2.0
99060,3.0
99141,4.0
97789,1.0
86383,3.0
51723,2.0
104367,Pos. 2.0
113651,2.0
96014,Pos. 1.0
96017,Pos. 3.0
55722,7.5
50716,1.0
85570,3.0
86855,Pos 6
81157,Pos. 1.0 + 1.5
107729,2.1
107488,1.0
64641,2.0
94985,1.0
92290,1
99111,1.0
57629,1.0
113652,"3.0, 4.0, 5.0 6.0"
107514,5.0
83929,3.1
90379,13.0
99402,2.0
81608,6.0
85638,1.0
88266,2.0
104099,Pos 2
102227,1.1
108955,2.0
65829,2.0
99267,3.0
97301,1.0
98934,1.0
56056,2.0
50852,1.0
99424,2.0
35891,1.0
104350,2.0
113655,5.5
90376,10.0
93968,1.8
90079,1.0
65917,Pos 4.0
107701,3.0
81333,11.0
85651,251
81212,2
107652,3.0
109228,7.0
105118,1.0
63030,1
57311,Pos. 4.0
59862,2.5
89478,2.0
83933,3.1
49029,21
90211,3.0
99007,7.0
99265,1.0
98929,2.0
94289,1.0
107363,Pos. 1
109573,3
39254,1.0
58833,1
51140,2
56850,7.0
56968,2a
99373,1.0
85047,Pos. 4.0
87841,2.0
100231,5
102234,6.0
104387,5.0 / 7.0
39843,Pos.13.0
65188,4.0
69932,30
85644,5.0
82127,2.0
99382,4.0
99343,3.0
96674,Pos. 2.0
93705,110
107396,5.0
85593,2.0
85642,3.1
85529,1.0
87060,1.0
63797,3.1
69312,2.1
99416,7.0
99435,3.0
